,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
0,Un Año,Un Año,Sebastian Yatra,2019-01-18,164440,74,0.148,0.771,0.382,0.0,0.104,-6.808,0.0514,0.535,94.931,4
1,What I'm Leaving For - ACM Presents: Our Country,What I'm Leaving For (ACM Presents: Our Country),Lady A,2020-04-06,205562,44,0.447,0.534,0.462,0.0,0.16,-7.151,0.0261,0.416,148.013,4
2,I'll Be There,I'll Be There,Jess Glynne,2018-05-03,193923,71,0.0228,0.623,0.851,0.0,0.12,-3.111,0.0409,0.4,100.063,4
3,Stolen Dance,Sadnecessary,Milky Chance,2014-06-20,313684,73,0.427,0.885,0.581,0.000204,0.0759,-8.813,0.0378,0.728,114.016,4
4,The Bones - with Hozier,The Bones (with Hozier),Maren Morris,2019-10-04,197298,78,0.286,0.561,0.597,0.0,0.0979,-6.0,0.0405,0.355,76.826,4
5,Bigger Love,Bigger Love,John Legend,2020-04-17,172533,67,0.0229,0.658,0.834,0.000533,0.19,-3.634,0.0468,0.571,102.023,4
6,For You (Fifty Shades Freed) (& Rita Ora),Fifty Shades Freed (Original Motion Picture Soundtrack),Various Artists,2018-02-09,245453,65,0.0167,0.541,0.787,0.0,0.157,-4.618,0.0331,0.2,113.0,4
7,Better Together,In Between Dreams,Jack Johnson,2005-01-01,207680,72,0.308,0.868,0.347,2e-05,0.11,-9.529,0.0536,0.659,110.059,4
8,Last Time I Say Sorry,Last Time I Say Sorry,Kane Brown,2020-03-27,194819,71,0.856,0.263,0.393,0.0,0.0975,-7.783,0.0291,0.205,86.806,4
9,To Die For,To Die For,Sam Smith,2020-02-14,193795,82,0.832,0.483,0.361,4.66e-06,0.098,-7.889,0.0738,0.307,171.649,4
10,Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,183290,93,0.0125,0.794,0.793,0.0,0.0952,-4.521,0.0842,0.677,123.941,4
11,Yummy,Yummy,Justin Bieber,2020-01-03,210426,85,0.366,0.687,0.514,0.0,0.116,-6.612,0.0897,0.494,145.921,4
12,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",Dan + Shay,2019-10-04,167693,87,0.153,0.654,0.63,0.0,0.111,-4.644,0.0259,0.43,89.991,4
13,Chandelier,1000 Forms Of Fear (Deluxe Version),Sia,2015-05-04,216120,70,0.0197,0.399,0.787,6.07e-05,0.0685,-2.88,0.0499,0.572,117.089,5
14,Dance Monkey,Dance Monkey (Stripped Back) / Dance Monkey,Tones And I,2019-10-17,209438,94,0.692,0.824,0.588,0.000104,0.149,-6.4,0.0924,0.513,98.027,4
15,Count on Me,Doo-Wops & Hooligans,Bruno Mars,2010-10-05,197373,72,0.84,0.577,0.397,0.0,0.0772,-5.98,0.028,0.509,89.044,4
16,Christmas Tree Farm,Christmas Tree Farm,Taylor Swift,2019-12-06,228026,58,0.06,0.598,0.68,0.0,0.324,-4.505,0.0331,0.437,134.002,4
17,Love Me Wrong,Love Me Wrong,Allie X,2019-12-06,192906,59,0.576,0.46,0.458,0.0,0.0925,-7.912,0.031,0.104,97.15,4
18,Show Yourself,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2019-11-15,260906,77,0.724,0.321,0.429,9.1e-05,0.0606,-7.073,0.0302,0.174,123.419,4
19,Into the Unknown,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),Various Artists,2019-11-15,194848,80,0.849,0.323,0.405,0.000544,0.138,-8.533,0.0413,0.274,145.104,5
20,Best Part (feat. H.E.R.),Freudian,Daniel Caesar,2017-08-25,209831,79,0.808,0.524,0.364,0.0,0.1,-10.209,0.0367,0.436,75.24,4
21,Good as Hell (feat. Ariana Grande) - Remix,Good as Hell (feat. Ariana Grande) [Remix],Lizzo,2019-10-25,159011,82,0.298,0.668,0.892,0.0,0.735,-3.001,0.0645,0.478,95.927,4
22,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,92,0.751,0.501,0.405,0.0,0.105,-5.679,0.0319,0.446,109.891,4
23,"Don't Give Up On Me - (From ""Five Feet Apart"")",Naive,Andy Grammer,2019-07-26,196187,79,0.0875,0.641,0.537,9.05e-06,0.115,-5.452,0.0282,0.0681,112.864,4
24,One Man Band,Old Dominion,Old Dominion,2019-10-25,186240,72,0.677,0.706,0.358,0.0,0.107,-8.331,0.0347,0.478,75.991,4
25,Circles,Hollywood's Bleeding,Post Malone,2019-09-06,215280,93,0.192,0.695,0.762,0.00244,0.0863,-3.497,0.0395,0.553,120.042,4
26,Memories,Memories,Maroon 5,2019-09-20,189486,91,0.837,0.764,0.32,0.0,0.0822,-7.209,0.0546,0.575,91.019,4
27,wish you were gay,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,221543,82,0.39,0.853,0.351,9.38e-06,0.752,-10.198,0.241,0.282,118.028,4
28,2002,Speak Your Mind (Deluxe),Anne-Marie,2018-04-27,186986,82,0.0372,0.697,0.683,0.0,0.137,-2.881,0.117,0.603,96.133,4
29,Cheating on You,Cheating on You,Charlie Puth,2019-10-01,196606,71,0.0131,0.749,0.535,3.65e-05,0.0982,-6.785,0.0336,0.601,123.042,4
30,I.F.L.Y.,Soul Searching,Bazzi,2019-08-09,165714,83,0.379,0.812,0.519,0.0,0.13,-4.823,0.0385,0.554,104.954,4
31,Mother,Mother,Charlie Puth,2019-09-12,162864,67,0.375,0.407,0.697,5.07e-06,0.125,-5.612,0.342,0.632,179.681,3
32,I Warned Myself,I Warned Myself,Charlie Puth,2019-08-21,159782,71,0.562,0.488,0.311,0.000548,0.161,-11.467,0.297,0.579,184.112,4
33,Find U Again (feat. Camila Cabello),Late Night Feelings,Mark Ronson,2019-06-21,176416,70,0.00548,0.605,0.664,3e-06,0.204,-7.162,0.0316,0.164,103.997,4
34,Speechless (Full),Aladdin (Original Motion Picture Soundtrack),Various Artists,2019-05-22,208800,74,0.467,0.474,0.489,0.0,0.119,-7.625,0.0342,0.23,124.844,4
35,Real Life,Real Life,Christopher,2019-07-19,196088,54,0.127,0.766,0.746,0.0,0.124,-5.312,0.0594,0.507,103.074,4
36,How Do You Sleep?,How Do You Sleep?,Sam Smith,2019-07-19,202204,84,0.153,0.477,0.682,0.0,0.0763,-4.931,0.0925,0.345,110.567,5
37,Chlorine,Trench,Twenty One Pilots,2018-10-05,324466,78,0.0735,0.609,0.674,0.06,0.345,-7.388,0.0548,0.315,90.009,4
38,Beautiful People (feat. Khalid),Beautiful People (feat. Khalid),Ed Sheeran,2019-06-28,197866,84,0.124,0.64,0.648,0.0,0.0802,-8.113,0.187,0.548,92.977,4
39,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,2019-04-25,163804,81,0.179,0.661,0.723,1.23e-05,0.14,-6.976,0.0566,0.316,113.778,4
40,Paradise,Soul Searching,Bazzi,2019-08-09,169038,81,0.0828,0.844,0.644,0.0,0.113,-6.273,0.0479,0.591,122.061,4
41,Señorita,Señorita,Shawn Mendes,2019-06-21,190960,88,0.037,0.759,0.54,0.0,0.0945,-6.039,0.0287,0.75,116.947,4
42,Never Really Over,Never Really Over,Katy Perry,2019-05-31,223523,84,0.194,0.77,0.882,0.0,0.316,-4.792,0.0602,0.385,99.991,4
43,Talk,Talk,Khalid,2019-02-07,197487,76,0.0501,0.9,0.4,0.0,0.0876,-8.443,0.124,0.338,136.001,4
44,Who Do You Love,World War Joy,The Chainsmokers,2019-12-06,226733,79,0.0101,0.51,0.846,0.0,0.208,-4.595,0.0461,0.475,139.927,4
45,As You Are (feat. Shy Carter),Nine Track Mind,Charlie Puth,2016-01-29,235920,38,0.361,0.819,0.523,0.0,0.0716,-6.202,0.0449,0.699,113.952,4
46,Left Right Left,Nine Track Mind,Charlie Puth,2016-01-29,206466,39,0.21,0.698,0.712,0.0,0.0602,-3.634,0.0321,0.486,99.952,4
