,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo,time_signature
0,Better Together,In Between Dreams,Jack Johnson,2005-01-01,207680,72,0.868,0.308,0.347,2e-05,0.11,-9.529,0.0536,0.659,110.059,4
1,Do You Remember,In Between Dreams,Jack Johnson,2005-01-01,144013,61,0.598,0.762,0.289,8.17e-05,0.262,-11.405,0.0334,0.714,92.035,4
2,I Got You,From Here To Now To You,Jack Johnson,2013-01-01,179346,64,0.899,0.61,0.399,1.52e-05,0.0923,-6.553,0.038,0.544,98.067,4
3,Over the Rainbow,Alone In Iz World,Israel Kamakawiwo'ole,2001-09-25,211933,71,0.671,0.912,0.153,5.53e-05,0.0771,-13.569,0.0404,0.658,85.6,4
4,Crush,Crush,Tessa Violet,2018-06-15,216266,66,0.91,0.0302,0.401,0.000159,0.0801,-9.552,0.0855,0.824,135.994,4
5,Bad Ideas,Bad Ideas,Tessa Violet,2018-11-30,179173,48,0.786,0.622,0.523,0.000742,0.0978,-7.583,0.21,0.379,80.042,4
6,My Jinji,JINJI KIKKO,Sunset Rollercoaster,2016-03-01,400560,1,0.389,0.534,0.597,0.406,0.144,-8.436,0.0308,0.506,143.943,4
7,I Know You Know I Love You,BOSSA NOVA,Sunset Rollercoaster,2011-09-22,120693,0,0.764,0.816,0.186,0.0223,0.113,-14.824,0.0799,0.626,143.94,4
8,What Do I Know?,÷ (Deluxe),Ed Sheeran,2017-03-03,237333,70,0.838,0.251,0.492,0.0,0.262,-5.69,0.038,0.895,115.092,4
9,New Light,New Light,John Mayer,2018-05-10,216014,79,0.828,0.325,0.689,0.0384,0.0808,-7.878,0.0326,0.853,123.931,4
10,You're Gonna Live Forever in Me,The Search for Everything,John Mayer,2017-04-14,190013,64,0.538,0.983,0.131,0.00522,0.156,-14.104,0.0316,0.32,136.149,4
11,Fix You,X&Y,Coldplay,2005-06-07,295533,81,0.209,0.164,0.417,0.00196,0.113,-8.74,0.0338,0.124,138.178,4
12,Eugene,Carrie & Lowell,Sufjan Stevens,2015-03-31,146893,54,0.555,0.973,0.12,0.303,0.285,-24.043,0.0433,0.672,84.293,4
13,Summer Salt,Going Native,Summer Salt,2016-01-18,152921,41,0.485,0.2,0.629,0.000897,0.0968,-5.904,0.0378,0.502,132.177,4
14,Don't You Worry About Me,Love & The City 2,Various Artists,2018-01-26,172444,2,0.552,0.444,0.668,2.15e-05,0.129,-4.541,0.0521,0.674,135.003,4
15,Hey Jude,Yesterday,Imaginary Future,2017-03-16,211734,44,0.501,0.941,0.104,1.05e-06,0.121,-17.002,0.0388,0.316,146.58,4
16,Let It Be Me,Flipped (Original Motion Picture Soundtrack),Various Artists,2010-08-03,149253,0,0.318,0.771,0.241,0.00314,0.128,-13.319,0.0289,0.318,144.882,4
17,What's Your Name,Flipped (Original Motion Picture Soundtrack),Various Artists,2010-08-03,143746,19,0.511,0.103,0.448,0.0,0.0895,-8.15,0.0334,0.542,201.056,3
18,"Oh, Pretty Woman","Oh, Pretty Woman",Roy Orbison,1962,178933,73,0.619,0.715,0.603,0.0,0.0721,-9.481,0.0342,0.958,127.432,4
19,Santa Baby,The Christmas EP,Daniela Andrade,2013-12-04,173153,28,0.627,0.769,0.233,0.0,0.123,-10.455,0.0499,0.28,95.161,4
20,i'm so tired...,i'm so tired...,Lauv,2019-01-24,162582,50,0.599,0.176,0.733,0.0,0.242,-7.058,0.203,0.534,102.211,4
21,I Like Me Better,I met you when I was 18. (the playlist),Lauv,2018-05-31,197436,85,0.752,0.535,0.505,2.55e-06,0.104,-7.621,0.253,0.419,91.97,4
22,There's No Way (feat. Julia Michaels),There's No Way (feat. Julia Michaels),Lauv,2018-09-27,174860,46,0.755,0.49,0.625,0.0,0.157,-7.114,0.0896,0.374,147.02,4
23,Chocolate - Acoustic Version / Bonus Track,The 1975,The 1975,2013-01-01,238003,12,0.365,0.734,0.267,0.0,0.15,-13.443,0.0481,0.386,73.364,4
24,From the Dining Table,Harry Styles,Harry Styles,2017-05-12,211960,73,0.671,0.804,0.156,0.0518,0.113,-16.288,0.0371,0.201,94.08,4
25,Chasing Cars,Chasing Cars,Sleeping At Last,2015-04-23,240426,59,0.478,0.975,0.181,3.37e-06,0.0795,-8.731,0.0327,0.279,108.346,4
26,Only Angel,Harry Styles,Harry Styles,2017-05-12,291080,68,0.554,0.287,0.842,0.0,0.106,-4.113,0.0397,0.348,114.036,4
27,Love Her,Happiness Begins,Jonas Brothers,2019-06-07,193133,64,0.74,0.178,0.337,0.0,0.0944,-6.039,0.0282,0.56,103.002,4
28,Youngblood - Acoustic,Youngblood (Acoustic),5 Seconds of Summer,2018-06-01,220995,60,0.607,0.127,0.589,0.0,0.182,-6.068,0.0274,0.399,114.946,4
29,A Little More,A Little More,Alessia Cara,2018-07-11,144720,54,0.376,0.797,0.211,0.0,0.196,-11.665,0.0364,0.228,94.7,3
30,Be My Mistake,A Brief Inquiry Into Online Relationships,The 1975,2018-11-30,256688,69,0.572,0.835,0.155,0.000137,0.0906,-14.405,0.0344,0.0949,109.923,3
31,Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),Bazzi,2018-08-02,180000,79,0.638,0.346,0.717,0.0,0.105,-4.722,0.0337,0.249,100.027,4
32,Fallin' All In You,Shawn Mendes,Shawn Mendes,2018-05-25,235746,76,0.853,0.405,0.476,0.0,0.111,-6.696,0.0361,0.796,92.038,4
33,Night Changes,FOUR (Deluxe),One Direction,2014-11-17,226600,77,0.672,0.859,0.52,0.0,0.115,-7.747,0.0353,0.37,120.001,4
34,Ho Hey,The Lumineers,The Lumineers,2012-04-03,163133,70,0.685,0.794,0.466,2.06e-06,0.0915,-9.074,0.0304,0.353,79.936,4
35,Your Body Is a Wonderland,Room For Squares,John Mayer,2001-08-16,249626,77,0.647,0.0206,0.729,0.0489,0.134,-6.251,0.0236,0.687,94.01,4
36,Shut Up and Dance - Live Acoustic - 2015,Shut Up And Dance (Acoustic),WALK THE MOON,2015-09-04,193986,63,0.82,0.151,0.615,0.0,0.204,-4.548,0.0466,0.768,129.874,4
37,Fancy,The New Classic (Deluxe Version),Iggy Azalea,2014-01-01,199938,68,0.912,0.0904,0.716,0.0,0.0491,-4.141,0.0697,0.377,94.981,4
38,Summer,Motion,Calvin Harris,2014-10-31,222533,80,0.596,0.0211,0.856,0.0178,0.141,-3.556,0.0346,0.743,127.949,4
39,Cake By The Ocean,DNCE,DNCE,2016-11-18,219146,79,0.774,0.152,0.753,0.0,0.0371,-5.446,0.0517,0.896,119.002,4
40,I'm the One - Acoustic,I'm the One (Acoustic),Sunset & Highland,2017-05-19,233488,59,0.601,0.835,0.372,0.0,0.129,-6.148,0.0292,0.444,146.086,4
41,One And Only,Poetry & Airplanes,Teitur,2003-01-01,171973,37,0.371,0.875,0.334,0.000255,0.114,-11.127,0.0296,0.308,68.721,4
42,Free,Donavon Frankenreiter,Donavon Frankenreiter,2004-01-01,148600,64,0.793,0.112,0.464,0.0,0.109,-6.624,0.0386,0.851,124.994,4
43,Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,2018-10-18,158053,8,0.753,0.551,0.498,0.0,0.0706,-5.61,0.0504,0.927,89.95,4
44,200%,PLAY,AKMU,2014-04-07,193321,56,0.853,0.379,0.638,0.0,0.27,-4.911,0.0536,0.872,102.06,4
45,Rainbow Connection,"Covers, Vol. 2",Sleeping At Last,2016-11-04,192571,57,0.513,0.966,0.183,0.0,0.327,-10.249,0.0407,0.266,107.18,3
46,So Am I,So Am I,Ava Max,2019-03-07,183026,80,0.682,0.0737,0.656,0.0,0.353,-4.67,0.0435,0.607,130.089,4
47,Sweet Caroline,Sweet Caroline,Neil Diamond,1969,203573,5,0.529,0.611,0.127,0.000109,0.237,-16.066,0.0274,0.578,63.05,4
48,Fresh Eyes,The Good Parts,Andy Grammer,2017-12-01,198001,68,0.828,0.548,0.56,3.66e-05,0.15,-6.685,0.0327,0.872,122.054,4
49,A Friend Like You,Captain Underpants: The First Epic Movie (Original Motion Picture Soundtrack),Various Artists,2017-06-02,220108,51,0.742,0.302,0.75,3.09e-06,0.149,-5.727,0.21,0.821,89.493,4
